		WELL DATA SUMMARY														
		 														
	Well	BLMN 33-7														
	 	 	 	 												
	Sec Azim	335.0	 													
	Elev	4215.0	KB													
 	Coords:	North	258644.0	EAST			2351584									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 				 												
 	6313	12.8	0.0	320	62	13	6284	-2069	8.4	-10.1	-49.3	-265.2	11.9	67.4	258595	2351319
 	6375	13.4	0.0	323	60	14	6344	-2129	10.9	-8.8	-38.3	-274.0	13.6	81.0	258606	2351310
	6400	13.6	0.0	327	24	6	6369	-2154	4.8	-3.4	-33.6	-277.3	5.7	86.8	258610	2351306
 	6438	13.8	0.0	334	61	15	6406	-2191	12.6	-7.8	-25.7	-281.8	14.7	95.8	258618	2351302
	6500	13.7	0.0	337	60	15	6466	-2251	13.4	-6.1	-12.3	-287.9	14.7	110.5	258632	2351296
 	6501	13.7	0.0	337	61	15	6467	-2252	13.6	-6.2	-12.1	-287.9	15.0	110.7	258632	2351296
 	6595	15.0	0.0	346	91	23	6558	-2343	22.1	-7.4	10.0	-295.3	23.1	133.9	258654	2351288
	6600	15.1	0.0	346	5	1	6563	-2348	1.3	-0.3	11.3	-295.7	1.3	135.2	258655	2351288
 	6688	17.0	0.0	346	89	26	6647	-2432	24.9	-6.3	34.8	-301.6	25.2	159.1	258679	2351282
	6700	17.3	0.0	346	11	4	6659	-2444	3.4	-0.9	38.3	-302.5	3.5	162.5	258682	2351281
 	6780	19.0	0.0	345	87	28	6735	-2520	27.5	-7.2	62.3	-308.9	28.0	187.0	258706	2351275
	6800	19.4	3.1	345	19	7	6754	-2539	6.3	-1.7	68.7	-310.6	6.5	193.5	258713	2351273
 	6870	20.8	14.0	347	85	31	6819	-2604	29.7	-7.6	92.0	-316.5	30.1	217.1	258736	2351267
	6900	21.2	9.8	346	28	11	6847	-2632	10.4	-2.5	102.5	-319.0	10.5	227.7	258746	2351265
